result/tencentBlock.ns1885.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     8741, 2522262 req, miss ratio 0.1831, byte miss ratio 0.1831
result/tencentBlock.ns1885.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    17482, 2522262 req, miss ratio 0.1585, byte miss ratio 0.1585
result/tencentBlock.ns1885.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    34964, 2522262 req, miss ratio 0.1344, byte miss ratio 0.1344
result/tencentBlock.ns1885.oracleGeneral.bin                              LFU cache size       87, 2522262 req, miss ratio 0.5975, byte miss ratio 0.5975
result/tencentBlock.ns1885.oracleGeneral.bin                              LFU cache size      437, 2522262 req, miss ratio 0.5146, byte miss ratio 0.5146
result/tencentBlock.ns1885.oracleGeneral.bin                              LFU cache size      874, 2522262 req, miss ratio 0.4710, byte miss ratio 0.4710
result/tencentBlock.ns1885.oracleGeneral.bin                              LFU cache size     1748, 2522262 req, miss ratio 0.3987, byte miss ratio 0.3987
result/tencentBlock.ns1885.oracleGeneral.bin                              LFU cache size     4370, 2522262 req, miss ratio 0.3172, byte miss ratio 0.3172
result/tencentBlock.ns1885.oracleGeneral.bin                              LFU cache size     8741, 2522262 req, miss ratio 0.2279, byte miss ratio 0.2279
result/tencentBlock.ns1885.oracleGeneral.bin                              LFU cache size    17482, 2522262 req, miss ratio 0.1636, byte miss ratio 0.1636
result/tencentBlock.ns1885.oracleGeneral.bin                              LFU cache size    34964, 2522262 req, miss ratio 0.1416, byte miss ratio 0.1416
