result/msr_proj_1.oracleGeneral                  S3FIFO-0.1000-2 cache size   154520, 23639742 req, miss ratio 0.8641, byte miss ratio 0.8641
result/msr_proj_1.oracleGeneral                  S3FIFO-0.1000-2 cache size   309040, 23639742 req, miss ratio 0.8262, byte miss ratio 0.8262
result/msr_proj_1.oracleGeneral                  S3FIFO-0.1000-2 cache size   772600, 23639742 req, miss ratio 0.7395, byte miss ratio 0.7395
result/msr_proj_1.oracleGeneral                  S3FIFO-0.1000-2 cache size  1545200, 23639742 req, miss ratio 0.6859, byte miss ratio 0.6859
result/msr_proj_1.oracleGeneral                  S3FIFO-0.1000-2 cache size  3090400, 23639742 req, miss ratio 0.6820, byte miss ratio 0.6820
result/msr_proj_1.oracleGeneral                  S3FIFO-0.1000-2 cache size  6180800, 23639742 req, miss ratio 0.6671, byte miss ratio 0.6671
result/msr_proj_1.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    15452, 23639742 req, miss ratio 0.9432, byte miss ratio 0.9432
result/msr_proj_1.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    77260, 23639742 req, miss ratio 0.8904, byte miss ratio 0.8904
result/msr_proj_1.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size   154520, 23639742 req, miss ratio 0.8603, byte miss ratio 0.8603
result/msr_proj_1.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size   309040, 23639742 req, miss ratio 0.8207, byte miss ratio 0.8207
result/msr_proj_1.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size   772600, 23639742 req, miss ratio 0.7285, byte miss ratio 0.7285
result/msr_proj_1.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size  1545200, 23639742 req, miss ratio 0.6789, byte miss ratio 0.6789
result/msr_proj_1.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size  3090400, 23639742 req, miss ratio 0.6758, byte miss ratio 0.6758
result/msr_proj_1.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size  6180800, 23639742 req, miss ratio 0.6639, byte miss ratio 0.6639
result/msr_proj_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    15452, 23639742 req, miss ratio 0.9417, byte miss ratio 0.9417
result/msr_proj_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    77260, 23639742 req, miss ratio 0.8910, byte miss ratio 0.8910
result/msr_proj_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   154520, 23639742 req, miss ratio 0.8719, byte miss ratio 0.8719
result/msr_proj_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   309040, 23639742 req, miss ratio 0.8347, byte miss ratio 0.8347
result/msr_proj_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   772600, 23639742 req, miss ratio 0.7353, byte miss ratio 0.7353
result/msr_proj_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size  1545200, 23639742 req, miss ratio 0.6789, byte miss ratio 0.6789
